stop_id,route_id,stop_name,route_long_name,wheelchair_boarding
IDFM:10215,IDFM:C00563,Parking Pr,CDG VAL,2
IDFM:10217,IDFM:C00563,Parking Px,CDG VAL,2
IDFM:41833,IDFM:C00563,Terminal 1,CDG VAL,2
IDFM:10219,IDFM:C00563,Terminal 2 Gare,CDG VAL,2
IDFM:2272,IDFM:C00563,Terminal 3,CDG VAL,2
IDFM:463121,IDFM:C01371,Argentine,1,2
IDFM:463019,IDFM:C01371,Bastille,1,2
IDFM:22105,IDFM:C01371,Bérault,1,2
IDFM:22090,IDFM:C01371,Champs-Élysées - Clemenceau,1,2
IDFM:22086,IDFM:C01371,Charles de Gaulle - Étoile,1,2
IDFM:22104,IDFM:C01371,Château de Vincennes,1,2
IDFM:22087,IDFM:C01371,Châtelet,1,2
IDFM:22085,IDFM:C01371,Concorde,1,2
IDFM:463170,IDFM:C01371,Esplanade de la Défense,1,2
IDFM:22082,IDFM:C01371,Franklin D. Roosevelt,1,2
IDFM:22083,IDFM:C01371,Gare de Lyon,1,2
IDFM:22084,IDFM:C01371,George V,1,2
IDFM:463080,IDFM:C01371,Hôtel de Ville,1,2
IDFM:22101,IDFM:C01371,La Défense (Grande Arche),1,2
IDFM:22100,IDFM:C01371,Les Sablons,1,2
IDFM:22081,IDFM:C01371,Louvre - Rivoli,1,2
IDFM:22080,IDFM:C01371,Nation,1,2
IDFM:22079,IDFM:C01371,Palais Royal - Musée du Louvre,1,2
IDFM:463044,IDFM:C01371,Pont de Neuilly,1,2
IDFM:463257,IDFM:C01371,Porte Maillot,1,2
IDFM:22077,IDFM:C01371,Porte de Vincennes,1,2
IDFM:22076,IDFM:C01371,Reuilly - Diderot,1,2
IDFM:22103,IDFM:C01371,Saint-Mandé,1,2
IDFM:22074,IDFM:C01371,Saint-Paul (Le Marais),1,2
IDFM:463041,IDFM:C01371,Tuileries,1,2
IDFM:22122,IDFM:C01372,Alexandre Dumas,2,2
IDFM:463120,IDFM:C01372,Anvers,2,2
IDFM:463125,IDFM:C01372,Avron,2,2
IDFM:22127,IDFM:C01372,Barbès - Rochechouart,2,2
IDFM:463111,IDFM:C01372,Belleville,2,2
IDFM:22125,IDFM:C01372,Blanche,2,2
IDFM:463043,IDFM:C01372,Charles de Gaulle - Étoile,2,2
IDFM:462984,IDFM:C01372,Colonel Fabien,2,2
IDFM:22121,IDFM:C01372,Courcelles,2,2
IDFM:462983,IDFM:C01372,Couronnes,2,2
IDFM:462981,IDFM:C01372,Jaurès,2,2
IDFM:22119,IDFM:C01372,La Chapelle,2,2
IDFM:463240,IDFM:C01372,Monceau,2,2
IDFM:463243,IDFM:C01372,Ménilmontant,2,2
IDFM:463067,IDFM:C01372,Nation,2,2
IDFM:463230,IDFM:C01372,Philippe Auguste,2,2
IDFM:463088,IDFM:C01372,Pigalle,2,2
IDFM:22115,IDFM:C01372,Place de Clichy,2,2
IDFM:22111,IDFM:C01372,Porte Dauphine,2,2
IDFM:463285,IDFM:C01372,Père Lachaise,2,2
IDFM:22110,IDFM:C01372,Rome,2,2
IDFM:22107,IDFM:C01372,Stalingrad,2,2
IDFM:22108,IDFM:C01372,Ternes,2,2
IDFM:22109,IDFM:C01372,Victor Hugo,2,2
IDFM:462988,IDFM:C01372,Villiers,2,2
IDFM:463119,IDFM:C01373,Anatole France,3,2
IDFM:21994,IDFM:C01373,Arts et Métiers,3,2
IDFM:463090,IDFM:C01373,Bourse,3,2
IDFM:463069,IDFM:C01373,Europe,3,2
IDFM:22037,IDFM:C01373,Gallieni,3,2
IDFM:21950,IDFM:C01373,Gambetta,3,2
IDFM:21906,IDFM:C01373,Havre-Caumartin,3,2
IDFM:463210,IDFM:C01373,Louise Michel,3,2
IDFM:22031,IDFM:C01373,Malesherbes,3,2
IDFM:22030,IDFM:C01373,Opéra,3,2
IDFM:463250,IDFM:C01373,Parmentier,3,2
IDFM:22021,IDFM:C01373,Pereire,3,2
IDFM:22035,IDFM:C01373,Pont de Levallois - Bécon,3,2
IDFM:22022,IDFM:C01373,Porte de Bagnolet,3,2
IDFM:463258,IDFM:C01373,Porte de Champerret,3,2
IDFM:22020,IDFM:C01373,Père Lachaise,3,2
IDFM:22024,IDFM:C01373,Quatre Septembre,3,2
IDFM:463297,IDFM:C01373,Rue Saint-Maur,3,2
IDFM:463091,IDFM:C01373,Réaumur - Sébastopol,3,2
IDFM:21902,IDFM:C01373,République,3,2
IDFM:462971,IDFM:C01373,Saint-Lazare,3,2
IDFM:462986,IDFM:C01373,Sentier,3,2
IDFM:463316,IDFM:C01373,Temple,3,2
IDFM:22027,IDFM:C01373,Villiers,3,2
IDFM:22028,IDFM:C01373,Wagram,3,2
IDFM:463118,IDFM:C01374,Alésia,4,2
IDFM:483423,IDFM:C01374,Bagneux - Lucie Aubrac,4,2
IDFM:483277,IDFM:C01374,Barbara,4,2
IDFM:463093,IDFM:C01374,Barbès - Rochechouart,4,2
IDFM:22152,IDFM:C01374,Château Rouge,4,2
IDFM:22153,IDFM:C01374,Château d'Eau,4,2
IDFM:463158,IDFM:C01374,Châtelet,4,2
IDFM:463161,IDFM:C01374,Cité,4,2
IDFM:22151,IDFM:C01374,Denfert-Rochereau,4,2
IDFM:22147,IDFM:C01374,Etienne Marcel,4,2
IDFM:463022,IDFM:C01374,Gare de l'Est,4,2
IDFM:463183,IDFM:C01374,Gare du Nord,4,2
IDFM:463208,IDFM:C01374,Les Halles,4,2
IDFM:463222,IDFM:C01374,Mairie de Montrouge,4,2
IDFM:22132,IDFM:C01374,Marcadet - Poissonniers,4,2
IDFM:462996,IDFM:C01374,Montparnasse Bienvenue,4,2
